﻿sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
rang bzhin ma grub pa|Ne pas exister de par ses caractéristiques propres, Ne pas:  - exister par soi, - exister en soi, - exister de par sa nature propre.
rang bzhin gyis med pa|Inexistant de par sa nature,
rang bzhin lhun grub|La nature spontanée, La nature subsistant de par soi (en soi, par soi) Existant sans effort ou fabrication, Existant spontanément,
rang bzhin med pa |Sans nature propre, Sans existence en soi,
rang bzhin stong pa nyid|Vacuité naturelle, Naturellement vide,
rang dbang|Liberté, Indépendance, Autonomie, Etre indépendant, Ne pas dépendre de quelque chose d'autre pour ses actions, Avoir en soi son propre pouvoir,
rang don|Son propre bien, Son intérêt personnel, Ses intérêts personnels, Ses propres desseins,
rang phan|Son propre bien, Son intérêt personnel, Ses intérêts personnels, Ses propres desseins,
rang ga ba|Commun, Banal, Tel que ça vient, Sans discernement, Comme ça vient,
rang ga ma|Commun, Banal, Tel que ça vient, Sans discernement, Comme ça vient,
rang gi bdag nyid|Sa propre essence, Sa propre nature, La nature propre à,
rang gi mtshan nyid|Sa caractéristique propre,  Sa qualité ou sa fonction particulière,
rang grol|Auto libéré, Auto libération, Libre en soi, Libre de soi, Qui se libère de soi-même, Spontanément libre, libéré,
rang grub|Existant de soi, par soi, Etant de par soi-même, Auto existant, Etre en soi, Aséité,
rang gsal|Clair en soi, Lucide de soi en soi, Clarté de la cognition s'expérimentant en elle-même. Auto lucidité, Lucidité réflexive, Clarté d'auto intelligence,
rang mgo thon pa|Faire pour soi ce dont on a besoin, Se prendre en charge, Prendre soin de soi soi-même, Etre autonome, Ne pas dépendre des autres, Etre capable d'accomplir ses desseins indépendamment,
rang mgo 'don pa rang mgo|Faire pour soi ce dont on a besoin, Se prendre en charge, Prendre soin de soi soi-même, Etre autonome, Ne pas dépendre des autres, Etre capable d'accomplir ses desseins indépendamment,
rang gis 'don pa|Faire pour soi ce dont on a besoin, Se prendre en charge, Prendre soin de soi soi-même, Etre autonome, Ne pas dépendre des autres, Etre capable d'accomplir ses desseins indépendamment,
rang mthong|L'importance que l'on s'accorde, que l'on attache à soi, Narcissisme, Nombrilisme,
rang ngo|Sa propre essence, Son propre en soi, Sa propre face, Sa vraie nature, Ses vraies caractéristiques,
rang gi ngo bo|Sa propre essence, Son propre en soi, Sa propre face, Sa vraie nature, Ses vraies caractéristiques,
ngo rang|Sa propre essence, Son propre en soi, Sa propre face, Sa vraie nature, Ses vraies caractéristiques,
rang zhal|(h) Sa propre essence, Son propre en soi, Sa propre face, Sa vraie nature, Ses vraies caractéristiques,
rang nyid|Soi-même, Moi-même, Lui-même, La nature (propre), L'essence (propre), La nature (même), L'essence (même) La personne en soi, Le maître, L'être,
bdag nyid|Soi-même, Moi-même, Lui-même, La nature (propre), L'essence (propre), La nature (même), L'essence (même) La personne en soi, Le maître, L'être,
rang rgyal|Son propre royaume, Sa propre victoire, Pratyékabouddha, Bouddha par soi,
rang sang rgyas|Son propre royaume, Sa propre victoire, Pratyékabouddha, Bouddha par soi,
rang rgyud|Le cours de son esprit,  Le courant de son esprit, Le continuum de son esprit, l'intellect pensant, La continuité qu'est son propre esprit, Son propre continuum cognitif, Sa propre lignée,  Sa lignée familiale,
rang rig|Intelligence en soi, Cognition en soi, Intelligence réflexive, Auto connaissance, Expérience immédiate en soi, Abv. de rang byung rig pa: Intelligence immédiate naturelle,
rang rig rang gsal|Lucidité auto connaissante, Clarté auto connaissante, Clarté qui se comprend en elle-même, Intelligence réflexive dont la clarté se comprend en soi (ou s'expérimente en elle-même)
rang rkya|Indépendant, Autonome, Auto suffisant, Qui se suffit à soi-même, Absolu, Qui subsiste, qui est: en soi, de soi, par soi,
rang sa|Son propre lieu, Sa patrie, Sa propre place, La place que l'on occupe,  Le lieu où l'on est,
rang shar|"Apparu de soi, Apparu spontanément, Apparaissant de soi-même, Emergence spontanée, Ce qui apparaît spontanément, de soi; Nom de l'un des 17 tantra Dzogchen,"
rang snags rgyas|Pratyekabouddha
rang so|Sur place, A sa place, Tel que c'est, Naturellement, Autonome,
rang sor|Largeur d'un doigt, Voir rang so, idem.
rang stong|Vide (ou vacuité):  - d'existence propre, - d'existence en soi, - de nature propre,  - de nature en soi, - de réalité en soi, - de réalité propre, - d'en soi,
rang bzhin gyis stong pa|Vide (ou vacuité):  - d'existence propre, - d'existence en soi, - de nature propre,  - de nature en soi, - de réalité en soi, - de réalité propre, - d'en soi,
rdo rje|Vajra,
rdo rje bzlas pa|Récitation vajra
rdo rje gdan|Bodhgaya, Vajrasana Le siège vajra
rdo rje mgur|Chant vajra
rdo rje skyil krung|Vajrasana
rdo rje slob dpon|Vajracharya, Maitre vajra,
rdo rje snying po|Essence vajra, Essence adamantine.
rdo rje'i snying po|Essence vajra, Essence adamantine.
rdo rje theg pa|Vajrayâna, Voie vajra, Véhicule de diamant
rdul|Poussière, Menstrue,
rdul phra rab|Atome, Minuscule particule
rdzas|Substance, Matière,
rdzas ma yin pa|Non substantiel, Non matériel, Insubstantiel, Immatériel,
rdzas su grub pa|Existant substantiellement, matériellement,
rdzas yod|Substantiel Matériel,
rdzogs byed kyi las|Le karma qui parfait, qui complète (une situation)
rdzogs chen|Dzogchen, La grande perfection,
rdzogs ldan|Parfait, L'âge de la perfection, Le premier des quatre age d'un éon.
rdzogs pa|Parachever, Parfaire, Parachevé, Parfait, Accompli, Complet,
rdzogs pa'i byang chub|Le parfait éveil
rdzogs pa'i sangs rgyas|Le parfait Bouddha,
rdzogs rim|La phase de perfection,
rdzogs so|Fini, C'est terminé,
rdzu 'phrul|Illusionner (faire que ce qui n'est pas soit) Miracle,  Magie,  Prodige,
rdzun|Illusion, Mensonge,
re dogs med pa|Sans espoir ni crainte,
reg pa|Toucher, Contact,
rgyal ba|Vainqueur, Victorieux,
rgyal ba'i yum|Mère des Vainqueurs
rgyal sras|Fils des Vainqueurs
rgyas pa|Accroître, S'accroître, Accroissement, Amplifier, S'amplifier Amplification, S'épanouir Epanouissement
rgyu|Cause, Substance, Biens,
rgyu 'bras|Causalité Cause et conséquence
las 'bras|Causalité Cause et conséquence
las rgyu 'bras|Causalité Cause et conséquence
rgyu 'bras med pa|Sans causalité
rgyu mtshan|raison
rgyu rkyen|Causes et facteurs
rgyud|Tantra Continuité, Lignée
rgyud lung man ngag|Tantras (Mahayoga), transmissions scripturaires (Anuyoga) et instructions spéciales (Atiyoga)
rgyun|Courant, flot, flux, continuité,
rgyun chad med pa|Sans interruption
rgyun mkho'i tshig mdzod|glossaire
ri rab|Le mont Mérou, Le mont sublime, La montagne suprême,
ri bo mchog rab|Le mont Mérou, Le mont sublime, La montagne suprême,
rigs byed|Ce qui fait connaître, L'intellect, Les quatre Védas, Brahmâ,
rigs byed|Ce qui fait connaître, L'intellect, Les quatre Védas, Brahmâ,
rig 'dzin|Vidyâdhara,  Détenteur de l'intelligence,
rig gnas|Les sciences, Les lieux de connaissances,
rig pa'i rtsal|Les pouvoirs de l'intelligence (immédiate ou non), Les potentialités de l'immédiateté, La manifestation (l'exercice, l'expression) des potentialités de la cognition immédiate, de la présence d'instantanéité.
rig pa'i ye shes|L'expérience primordiale de l'intelligence en soi,  La gnose de l'intelligence en soi (immédiate),
rig rgyud|"La continuité de la cognition; La continuité de l'esprit, La disposition naturelle de l'esprit, sa nature,"
rig sngags|Mantra d'intelligence, Mantra de connaissance,
rig stong|Intelligence vide, Cognition vide,
rig stong dbyer med|Intelligence vide, Cognition vide,
rigs   |Famille, Lignée, Filiation, Caste, Classe, Type, Genre, Graine, Gênes, Cause, Essence, Etat, Nature, Potentiel, Aptitude, Capacité, Possibilité, Système de versification, Correct, Approprié,
rigs drug|Les six classes de vivants, Les six familles de Bouddhas,
rigs kyi bu|Enfant (fils, fille) de la lignée, Enfant de la famille,
rim gro|Servir, Respecter Louer, Vénérer Rituel (pour dissiper les obstacles, de longévité.) Service,
rim pa|Niveau, Grade, Degrès, Etage, Progression, Etape,
ris|Dessin, Direction, Orientation, Coté, Groupe, Parti,
ris chad|Prendre parti, Trancher pour un coté Tomber dans une orientation, Un kalpa sans Dharma,
ris med|Sans parti prit, Impartial, Sans orientation, Non orienté, Non sectaire,
ris bral|Sans parti prit, Impartial, Sans orientation, Non orienté, Non sectaire,
rjes|subséquent
rjes dpag|Inférence
rjes khyab|Inclusion positive
rjes thob ye shes|La gnose subséquente (à la contemplation), Gnose post contemplative, La gnose de l'après l'état de contemplation.
rkyen|Facteurs, conditions, circonstances.
rlabs|Vague, Rides, Ondes, Force, Puissance,
rlabs chen|De grande force, Puissant,
rlabs po che|Puissant, Vaste, fort,
rlung|Souffle, Energie, Air, Vent,
rlung bum pa can|Koumbaka, Souffle vase, Respiration vase,
rlung bum can|Koumbaka, Souffle vase, Respiration vase,
rlung sgom pa|Méditer sur le souffle, Pratiquer les souffles, S'entraîner aux souffles
rmad du byung ba|Evenement extraordianaire, merveilleux,
rmad byung|Evenement extraordianaire, merveilleux,
rmi lam|"Rêve;"
rmongs pa|Stupide,  Bête, Aveuglé
rmugs pa|Obsurité, Opacité,
rnal 'byor|Yoga, Union (à l'état naturel) Unification
rnal 'byor mngon sum|L'union véritable, L'expérience immédiate, directe, de l'union non duelle (du Yoga) Expérience directe non conceptuelle.
rnal 'byor pa|Yogi Pratiquant du yoga
rnal 'byor ma  dzo ki|Yogi Pratiquant du yoga
rnal 'byor rgyud|Yoga tantra Tantra de l'unions
rnal 'byor spyod pa|Pratiquant du Yoga, yogacarya. Qui suit les comportements du Yoga
rnal ma|Etat naturel, *authentique, *véritable
rnam bshad|Parfaite explication
rnam par bshad pa|Parfaite explication
rnam byang|«Parfaitement pur» Le nirvâna, Perfection, pureté
rnam 'byed|Parfaite analyse,  Complet examen,
rnam par 'byed pa|Parfaite analyse,  Complet examen,
rnam dbye|Les cas (grammaticaux) Déclinaisons
rnam par dbye ba|Les cas (grammaticaux) Déclinaisons
rnam grangs|Synonymes, Classification, Classe, Catégories, Aspects, Enumération d'aspects,
rnam grol|Parfaitement libéré.
rnam 'gyur|Attitudes, Manières, Allures, posture, Expression, Exprimer,  Montrer une attitude, une apparence, un aspect, un état,. Complétement transformé,
rnam gzhag|Présentation, Système, Manière Tradition Discipliner?
rnam par gzhag pa|Présentation, Système, Manière Tradition Discipliner?
rnam bzhag|Présentation, Système, Manière Tradition Discipliner?
rnam par bzhag pa|Présentation, Système, Manière Tradition Discipliner?
rnam kun|Tout, Toutes choses, Toujours,
rnam kun mchog ldan|Doté du suprême en tout, En tout suprême Le tout suprême, Le tout absolu
rnam mkhyen|Omniscient
rnam pa thams cad mkhyen pa|Omniscient
rnam nges|Certitude parfaite Complétement certain
rnam pa|Aspects, Apparences, Pesrpectives, Regards, Modes, Classes, Famille, Types, Tailles, Genres, Façons, Catégories,
rnam par rig byed|Lit.: «Ce qui fait connaître», L'esprit, L'intellect, La conscience connaissante, Les actes du corps et de la parole.
rnam rig|L'expérience, L'intelligence, L'intellect, L'esprit, La cognition, La conscience, La con-naissance En mode conceptuel, duel, (rnam pa)
rnam par rig pa|L'expérience, L'intelligence, L'intellect, L'esprit, La cognition, La conscience, La con-naissance En mode conceptuel, duel, (rnam pa)
rnam rtog|Pensées, Concept, Conceptions, Ce qui apparaît à l'esprit,
rnam par rtog pa|Pensées, Concept, Conceptions, Ce qui apparaît à l'esprit,
rtog tshogs|Pensées, Concept, Conceptions, Ce qui apparaît à l'esprit,
rnam shes|La conscience, La connaissance (de quelque chose) L'expérience duelle.
rnam par shes pa|La conscience, La connaissance (de quelque chose) L'expérience duelle.
rnam smin|Compléte maturité, Pleine maturation,
rnam smin gyi 'bras bu|Fruit (karmique) à pleine maturité
rnam thar sgo gsum|Les trois portes de la libération, Les trois modes d'entrée dans la libération.
rnam thar|Biographie, Hagiographie, Histoire de la parfaite libération (d'une personne réalisée)
rnam par thar pa|Biographie, Hagiographie, Histoire de la parfaite libération (d'une personne réalisée)
rnon po|Aigu, vif, acéré, tranchant, aiguisé,
rnyed bkur|Gains et honneurs
rnyed pa dang bkur sti|Gains et honneurs
ro|Goût, Saveur, Goûter, Cadavre,
ro drug|Les six saveurs,
ro gcig|Saveur unique, Unique saveur,
ro langs|Zombie, Cadavre debout, Mort vivant, Ressuscité,
ro mnyam|Même goût, Même saveur, Saveur égale, Egalité de goût, de saveur,
ro snyoms|Même goût, Même saveur, Saveur égale, Egalité de goût, de saveur,
rol|Coté, Direction, Sillon,
rol ba|Expérimenter, Jouir de, Manger, Jouer, Rire, Projeter, Manifester,
rol mo|Musique, Les instruments de musique en général, Nom de cymbales,
rol pa|Jeux, Emanation, Déployer un jeu d'émanations, de projections, Disposition, Arrangement, Déploiement,
rtag chad|Eternité et néant, Eternalisme et nihilisme, Etre et non être
rtag gcig  rang dbang gyi bdag|Un soi permanent, independent et autonome
rtag lta|Eternalisme.Vision de la permanence,
rtag pa'i mtha'|Eternalisme.Vision de la permanence,
rtag pa|Permanent
rtags|Signes,
rten|Support,
rten 'brel|Evénement interdépendant, Coïncidences, Présage,
rten 'brel yen lag bcu gnyis|Les douze facteurs de l'émergence interdépendante.
rten 'byung|Emergence en interdépendance
rten cing 'brel bar 'byung ba|Emergence en interdépendance
rten dang brten pa|Support et supporté
rtog pa|Penser, concevoir, conceptualiser, Penser en mode discursif, Pensée, Pensée discursive, Examiner
rtog tshogs|Penser, concevoir, conceptualiser, Penser en mode discursif, Pensée, Pensée discursive, Examiner
rtogs pa|(Se) comprendre, (Se) réaliser  (S') expérimenter
rton pa bzhi|Les quatre (choses) auxquelles te fier, (auxquelles tu peut faire confiance).
rtsa|Racine, Source, Nadis, Canaux (du corps vajra), Veines, Artères,
rtsa ba|Racine, Base, origine,  source, Important, Texte racine, ,
rtsa ba gsum|Les trois sources, Les trois racines, Les trois canaux,
rtsa gsum|Les trois sources, Les trois racines, Les trois canaux,
rtsa ba'i bla ma|Lama source, Lama racine,
rtsa ba'i rlung lnga|Les cinq souffles fondamentaux,
rtsa ba'i sde pa bzhi|Les quatre classes de textes fondamentaux des Auditeurs,
rtsa chen po|Important,
rtsa 'dab|Canaux pétals, Canaux rayons,
rtsa 'khor|Canaux pétals, Canaux rayons,
rtsa ltung|Les sources de chutes Les chutes racines
rtsa rlung thig le|Les canaux, souffles et graines essentielles (du corps vajra)
rtsad gcod|Décider au fond, fondamentalement, Trancher radicalement (une question)
rtsal|Potentialité, Pouvoirs, Potentiel, Capacité, Exercice (d'un potentiel), Dextérité,
rtsal rdzogs|Parachever les exercices, Parfaire l'exercice des potentialités, Le yoga de la perfection des grandes potentialités (des qualités de l'état d'union, voir TDC ci contre)
rtsal chen rdzogs pa|Parachever les exercices, Parfaire l'exercice des potentialités, Le yoga de la perfection des grandes potentialités (des qualités de l'état d'union, voir TDC ci contre)
rtsal sbyang|Pratiquer des exercices, Cultiver ses potentialités,
rtse gcig|Unique, Uniquement, En un point, Uniquement absorbé, Attention unique, Attention à une seule chose, Présence unique Présent uniquement à,
rtse mo|Ce qui est le plus haut: Sommet, Pinacle, Zénith, Faîte, Suprême, Meilleur,
rtse bo rtse|Ce qui est le plus haut: Sommet, Pinacle, Zénith, Faîte, Suprême, Meilleur,
rtsis gdab med pa|Sans calcul ni intention,
rtsis gdab med pa|Sans calcul ni intention,
brtsis med|Sans calcul ni intention,
rtsod pa|Débattre, Controverser, Argumenter, Disputation philosophique,
rtsol ba|Effort, Diligence, Application, Faire des efforts, Faire diligence, S'appliquer à, S'efforcer de,
rtsol grub|Faire des efforts,
rtsol sgrub|Faire des efforts,
rtsol grub med pa|Sans effort, Sans faire d'effort,
rtsol zhing sgrub du med|Sans effort, Sans faire d'effort,
ru|Classe, Division, Région,
sa bcad|Plan d'un texte, Table des matières,  Synopsis,
sa bcu|Les dix terres, Les dix degrès (de bodhisattva)
sa bdag|Roi de la contrée, Propriètaire terrien, Maître du sol (non humain),
sa bon|Graîne, Séve ou tiglé (blanc ou rouge), Résumé, Plan, projet,
sa 'dzin|Détenteur de la terre, Roi, Montagne, Nom des sept cercles de montagnes d'or autour du mont Mérou
sa gsum|Les trois niveaux ou plans: supérieur (au dessus de la terre), terrestre (sur la terre), et souterrain (sous la terre). Les trois (premiers) niveaux de bodhisattvas
sa gzhi|Base, Fondement, Sol, Terre,
sa lam|Les terres et les voies (les dix terres ou degrès de bodhisattva et les cinq voies ou niveaux de la réalisation)
sa mtshams|Frontière, Limite de terres, Limite (dans la réalisation de degrès spirituels)
sa skya|«Terre blanchâtre» Nom d'un palais fortesse au Sud Ouest de Shigatsé
sa skya pa|L'école des Sakyapas
sang nge ba|Clair, pure,  Limpide, transparent,   color: black'
sing nge ba|Clair, pure,  Limpide, transparent,   color: black'
sang nge seng nge|Voir dans l'espace, ou dans des ouvertures une luminosité toute blanche, Voir de la lumière blanche dans la porte ou par la fenêtre,
sangs pa|Se purifier, Se nettoyer, Se clarifier, Se réveiller, Se dissiper (pour de l'obscurité, pour des souffrances, pour de la fatigue), Se dégager (pour de l'opacité ou du sommeil), Disparaître  (pour de l'obscurité)
sangs po|Pur, clair, transparent, (se dit pour l'espace, le corps ou l'esprit)
sangs rgyas kyi bka' gsung|Les trois types de paroles du Bouddha,
sangs rgyas kyi gsung|Les trois types de paroles du Bouddha,
sangs rgyas kyi chos|Bouddha Dharma L'enseignement du (des) Bouddha, Les qualités du (des) Bouddhas,
sangs rgyas rabs bdun|Les sept naissances successives du Bouddha, La succession des sept Bouddha,
sbas pa|Caché
sbrul|Serpent
sbyang ba|Purifié, Nettoyé, S'être entraîné, Avoir pratiqué, Avoir purifié, Avoir cultivé,
sbyong ba|Purifié, Nettoyé, S'être entraîné, Avoir pratiqué, Avoir purifié, Avoir cultivé,
sbyangs pa|L'entraînement fait,
sbyin pa|Donner, Dons, Générosité
sbyin sreg|Homa, Rituel d'offrandes faites dans un feu, Dons, offrandes, brûlés,
sbyin sregs|Homa, Rituel d'offrandes faites dans un feu, Dons, offrandes, brûlés,
sbyor ba|S'unir,  Se réunir, Approche, Jonction, Union,
sbyor dngos rjes gsum|La préparation, le principal et la conclusion,
sbyor lam|Voie de l'union, de la jonction, de l'approche.
sde pa|ordre, école, tenants
sde snod|Canon Collection, Corbeille,
sde snod gsum|Les trois collections
sdeb sbyor|Composition, Stylistique, Prosodie, Poésie,
sdig pa|Actes négatifs, Négativité, Crime, Péché, Pointer, Menacer, Cancer (signe du zodiaque)
sdom pa|Voux, Lier, Relier,
sdug bsngal|Dysharmonie, Mal-être, Souffrance,
sel ba|Purifier, Enlever, Supprimer, Dissiper, Ecarter, Eliminer Distinguer, Clarifier, Différencier, Classifier,
sel bar byed|Purifier, Enlever, Supprimer, Dissiper, Ecarter, Eliminer Distinguer, Clarifier, Différencier, Classifier,
bsal ba|Purifier, Enlever, Supprimer, Dissiper, Ecarter, Eliminer Distinguer, Clarifier, Différencier, Classifier,
sems bskyed|Développer bodhicitta, Développer, Engender, Générer: + l'esprit (d'éveil), le cour esprit (de l'éveil), Le développement (ou génération) du cour esprit éveillé,  Le développement de l'esprit d'éveil.
sems byung|Evénement apparaissant de (en) l'esprit, Evénement de la cognition, Ce qui apparaît à l'esprit, Apparition mentale, Emergence de l'esprit,
sems 'byung|Evénement apparaissant de (en) l'esprit, Evénement de la cognition, Ce qui apparaît à l'esprit, Apparition mentale, Emergence de l'esprit,
sems can|Vivant, Doté d'esprit, Etre animé, Animal,
sems dang sems byung lnga bcu rtsa gcig|L'esprit central et les 51 événements mentaux (qui lui apparaissent comme ses propres objets)
sems dben|L'isolation de l'esprit, L'isolement de l'esprit,
sems dpa'|Vaillant, Courageux, Héro, Bodhisattva, Présence
sems dpa' gsum brtsegs|La succession des trois présences  La superposition des trois présences,
sems 'dzin|Fixations, Fixer l'esprit sur (en)., Les (différentes pratiques de) fixations de l'esprit, qui consistent à fixer l'esprit sur (ou en) un support (une expérience) quelqu'il/elle soit. Apréhension (unique) de l'esprit.
sems gnas dgu|Les neuf étapes (ou neuf stades) du repos de l'esprit (dans la pratique de chiné)
sems kyi gnas lugs|La disposition (fondamentale) de l'esprit, L'état (fondamental) de l'esprit.
sems kyi rang bzhin|La nature de l'esprit,  Ce que l'esprit est en lui-même.
sems las|Préoccupations, Soucis,
sems nyid|L'esprit en soi, L'esprit en lui-même, La nature de l'esprit, L'ainsité (ou ainséité) de l'esprit, La réalité fondamentale de l'esprit,
sems kyi de nyid|L'esprit en soi, L'esprit en lui-même, La nature de l'esprit, L'ainsité (ou ainséité) de l'esprit, La réalité fondamentale de l'esprit,
sems kyi chos nyid|L'esprit en soi, L'esprit en lui-même, La nature de l'esprit, L'ainsité (ou ainséité) de l'esprit, La réalité fondamentale de l'esprit,
sems pa|Activité de l'esprit «du coté de l'esprit qui active», Activation de l'esprit, Penser, L'action de penser, Appréhender (saisir par la pensée ou par les sens) «Cognitionner», Concevoir, Réflechir, Conceptualiser, Mentaliser, Observer,
sems rgyud|La disposition naturelle de l'esprit (d'être doux, agité, paisible, discipliné,.) La continuité de l'esprit, le continuum de l'esprit,
sems skyes|Vishnou
sems tsam rnam bden pa|Un spiritualiste réaliste, Un spiritualiste pro-réalilté Personne assertant la perspective spiritualiste pour laquelle ce qui apparaît comme apparences  est réel (existe réellement / existe en réalité)
sems tsam|Perspective spiritualiste,  Un spiritualiste. Le spiritualisme, Le «rien qu'esprit», Rien que l'esprit, Les idéalistes, L'idéalisme,
sems tsam pa|Perspective spiritualiste,  Un spiritualiste. Le spiritualisme, Le «rien qu'esprit», Rien que l'esprit, Les idéalistes, L'idéalisme,
seng ge|Lion, Le roi des animaux,
seng nge ba|Clair, pur, immaculée, Limpide, lucide,
ser sna|Envie, Possessivité, Avidité, Avarice, Convoitise, Cupidité, Concupisence
sgo|Porte, portail,
sgo nas|Au moyen de
sgom lam|La voie de l'habitude
sgoms pa|S'entraîner Méditer Entraînement, Méditation
bsgom pa|S'entraîner Méditer Entraînement, Méditation
sgrib gnyis|Les deux voiles
sgrib pa|Voile
sgrims lhod med pa|Sans tension ni relâchement
sgro 'dogs|Surimposition, exagération
sgro 'dogs|Surimposition, exagération
sgro skur|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgro btags dang skur 'debs|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgro bkur|Affirmation de l'existence de ce qui n'est pas et négation de l'existence de ce qui est. Exagérations dans l'affirmation ou la négation de l'existence  Exagération de l'existence ou de la non existence.
sgrub brgyud shing rta brgyad|Les huit véhicules des lignées de pratiques
sgrub pa|Pratiquer, Pratique, Accomplir, Affirmer, Etablir
sgrub pa bka' brgyad|Les pratiques des huit logos
sgyu lus|Corps illusoir
sgyu ma|Illusion magique mirage
sgyu 'phrul|Projection magique Illusion.
sha chen|La grande viande (humaine)
sha lnga|Les cinq viandes, Les cinq chaires,
sha za|Manger de la viande, Mangeur de viande, Carnivore, S'il s'agit de viande humaine:  Ogre, ogresse, Cannibale,
sham bha la|Shambala, Ce dit de «ce qui détient la source du bonhuer».
sham thabs|Jupe monastique, «Ce qui fait pour le bas»
gsham thabs|Jupe monastique, «Ce qui fait pour le bas»
shangs pa|Shangpa, Nom de la tradition Shangpa Kagyu
shar|L'Est, L'orient, Le levant,
shar ba|Se lever, Apparaître, S'élever, Emerger, Briller,
'char ba|Se lever, Apparaître, S'élever, Emerger, Briller,
shar gsum mkhan po|Les trois savants orientaux (venu de l'Est de l'Inde, érudits dont les écrits sont la base du madyamaka svatantrika: Jnânagarbha (slob dpon ye shes snying po),  Shântarakshita (zhiba 'tshos) et Kamalishîla (ka ma la sh'i la)
shar sgom|Méditation instantanée, rapide (faite en imaginant simplement et vite ce qui est médité)
sher phyin|Prajnâpâramitâ La perfection d'intelligence transcendante
shes rab kyi pha rol tu phyin pa|Prajnâpâramitâ La perfection d'intelligence transcendante
shes bya|Connu, Object de connaissance, Connaissances,
shes bya mdzod|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya kun khyab|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya kun khyab mdzod|«Le compendium qui embrasse toutes les connaissances», L'encyclopédie,
shes bya'i sgrib pa|Le voile de ce qui est connu, le voile de la connaissance duelle, le voile de la dualité, le voile de la cognition duelle,
shes bzhin|Attention, Vigilance, Attention vigilante, Vigilance attentive, Etat connaissant, vigile, lucide, de lucidité, de vigilance, d'attention, Observation répétée du corps et de l'esprit,
shes pa|Intelligence, Intellect, Connaissance, Expérience, Cognition, Connaisseur, Expérimentateur, Esprit, Comprendre, Expérimenter,
shes rab|Intelligence, Connaissance, Sapience, Avec un des qualificatifs: - excellente, - supérieure, - transcendante, Super -
shes rab rnam pa gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rab gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rab rnam gsum|Les trois types d'intelligences (de l'écoute, de la réflexion et de l'expérimentation)
shes rgyud|La continuité (le cours, le continuum) de la cognition, de l'esprit, de la conscience. La disposition naturelle de l'esprit
shi ba|Etre mort,
shig|Poux, puce, Mesure de longueur de l'Inde ancienne Une fois, en un endroit, Article indéfini: un, une, Marque de l'impératif après le suffixe sa) Impératif de 'jig pa
shig ge ba|Tout délié Tout relaché,  Serpentant, Zig zagant Dessin de craquelures
shin sbyangs|Grand entraînement, Litt.: être très entraîné
shin tu sbyangs ba|Grand entraînement, Litt.: être très entraîné
shin sbyangs yang dag byang chub kyi yan lag|Le grand entraînement (comme) branche de l'éveil.
shin tu rgyas pa|Très vaste, Très détaillé, extensif,
shing rta|Char, Chariot, Voiture, Véhicule, Engin à roues,  Moyen de transport, Méthode de progressioin Litt.: «Cheval de bois»
shing rta chen po brgyad|Les huit grands véhicules (de pratique), Les huit grandes traditions (ou transmissions) de pratiques
shing rta'i srol gnyis|Les traditions des deux véhicules (des deux méthodes de progression).
shis brjod|Dire une formule propice, de propiciation, Parole propice,
shis pa|Excellent, Vertueux, Bon, Propice,
shug gyis|Avec force, Venir de sa propre force, naturellement, de soi-même,
shug la byung ba|Avec force, Venir de sa propre force, naturellement, de soi-même,
shugs|Force,
shugs bstan|Quelque chose qui est exposé de façon indirecte, implicite Quelque chose qui est  implicite dans un énoncé
sing nge ye re ba|Très clair, limpide,
skabs|Occasion, opportunité, moment ou,
sku|Corps
sku gsum|Les trois corps, les trois dimensions
skyabs 'gro|Entrer en refuge, Aller en refuge,
skyabs su 'gro ba|Entrer en refuge, Aller en refuge,
skye ba|Naître Naissance, venir à l'existence
skye ba'i sprul sku|Corps d'émanation  Corps de naissance.
skye 'gags|Naissance et mort, début et fin,
skye 'gags med pa|Sans naissance ni mort, sans début ni fin.
skye gnas med pa|Sans naissance ni demeure.
skye mched|Les domaines, Domaines sensoriels, Les domaines de naissance et de développement (des l'expériences sensorielles)
skye med|Sans naissance,
ma skyes|Sans naissance,
skyo ba|Triste, désenchanté
skyo shas|Désillusionné, dégoûté
slob dpon|Maître, Maître d'étude, Professeur, Enseignant, Ami spirituel,
slob ma|Disciple, Etudiant, Elève, Apprentis,
bu slob|Disciple, Etudiant, Elève, Apprentis,
slob pa|Apprendre, Etudier, Enseigner, Transmettre, Apprentissage, Transmission, Ce qui est enseigné, Conseil, Instructions,
slu ba|Tromper, Illusionner,
sman|Médecine Médicament,
smin ma|Sourcils,
smin pa|Murir, Maturer,
smin sgrol|Murir et libérer, Les initiations qui font murir et les instructions qui libérent.
dbang khrid|Murir et libérer, Les initiations qui font murir et les instructions qui libérent.
smon 'jug|Aspiration et application (les deux bodhicitta relatives)
smon lam|Souhaits, Aspiration,
smon pa|Souhaiter, Aspirer,
